===============================================================================
Id,newsBOEING,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
1,newsBOEING,1,2021-03-05 14:30:00,229.00999450683594,229.36000061035156,227.11000061035156,228.1761932373047,0.0023435027054679574,,-0.016801521562328604,MA_cross_Sentiment,1,737854.6041666666,Broker,1,1000.0,1000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,DrawDown,1,0.0,0.0
2,newsBOEING,2,2021-03-05 14:32:00,228.36000061035156,229.49000549316406,227.00999450683594,229.389892578125,0.005027121542211929,,-0.030115062242707012,MA_cross_Sentiment,2,737854.6055555556,Broker,2,1000.0,1000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,DrawDown,2,0.0,0.0
3,newsBOEING,3,2021-03-05 14:34:00,229.3699951171875,229.9199981689453,227.5749969482422,227.6719970703125,0.008050856510231918,,-0.03994062204113522,MA_cross_Sentiment,3,737854.6069444445,Broker,3,1000.0,1000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,DrawDown,3,0.0,0.0
4,newsBOEING,4,2021-03-05 14:36:00,227.6977996826172,228.07130432128906,226.92640686035156,227.0050048828125,0.011414707609527919,,-0.046278200957613216,MA_cross_Sentiment,4,737854.6083333333,Broker,4,1000.0,1000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,DrawDown,4,0.0,0.0
5,newsBOEING,5,2021-03-05 14:38:00,227.05499267578125,227.4199981689453,226.50999450683594,226.85000610351562,0.015118674840099936,,-0.049127798992141,MA_cross_Sentiment,5,737854.6097222222,Broker,5,1000.0,1000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,DrawDown,5,0.0,0.0
6,newsBOEING,6,2021-03-05 14:40:00,226.77000427246094,227.80999755859375,226.5800018310547,227.69500732421875,0.019162758201947964,,-0.04848941614471861,MA_cross_Sentiment,6,737854.6111111111,Broker,6,1000.0,1000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,,DrawDown,6,0.0,0.0
7,newsBOEING,7,2021-03-05 14:42:00,227.6999969482422,227.9600067138672,226.88999938964844,227.17999267578125,0.023546957695072007,,-0.044363052415345994,MA_cross_Sentiment,7,737854.6125,Broker,7,1000.0,1000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0
8,newsBOEING,8,2021-03-05 14:44:00,227.3000030517578,227.57899475097656,226.6300048828125,227.36000061035156,0.027956318944512074,,-0.03725633077811138,MA_cross_Sentiment,8,737854.6138888889,Broker,8,1000.0,1000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0
9,newsBOEING,9,2021-03-05 14:46:00,227.32000732421875,227.81829833984375,226.25999450683594,226.9199981689453,0.03050111570050811,,-0.03021498907754387,MA_cross_Sentiment,9,737854.6152777778,Broker,9,1000.0,1000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0
10,newsBOEING,10,2021-03-05 14:48:00,226.94000244140625,226.9600067138672,225.6199951171875,225.75999450683594,0.030866393588100133,,-0.023746650287731652,MA_cross_Sentiment,10,737854.6166666667,Broker,10,1000.0,1000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0
