===============================================================================
Id,newsF,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
1,newsF,1,2021-03-05 14:30:00,12.0600004196167,12.1899995803833,12.050000190734863,12.1899995803833,-0.20843056455731038,,-1.0,MA_cross_Sentiment,1,737854.6041666666,Broker,1,1000.0,1000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,DrawDown,1,0.0,0.0
2,newsF,2,2021-03-05 14:32:00,12.188699722290039,12.25,12.149999618530273,12.225000381469727,-0.23835950130263833,,-1.0,MA_cross_Sentiment,2,737854.6055555556,Broker,2,1000.0,1000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,DrawDown,2,0.0,0.0
3,newsF,3,2021-03-05 14:34:00,12.225000381469727,12.260000228881836,12.15999984741211,12.177000045776367,-0.27029390995155955,,-1.0,MA_cross_Sentiment,3,737854.6069444445,Broker,3,1000.0,1000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,DrawDown,3,0.0,0.0
4,newsF,4,2021-03-05 14:36:00,12.175000190734863,12.189900398254395,12.095000267028809,12.104999542236328,-0.3042337905040738,,-1.0,MA_cross_Sentiment,4,737854.6083333333,Broker,4,1000.0,1000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,DrawDown,4,0.0,0.0
5,newsF,5,2021-03-05 14:38:00,12.104999542236328,12.130000114440918,12.050000190734863,12.0600004196167,-0.3391521328900068,,-1.0,MA_cross_Sentiment,5,737854.6097222222,Broker,5,1000.0,1000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,DrawDown,5,0.0,0.0
6,newsF,6,2021-03-05 14:40:00,12.05090045928955,12.09000015258789,12.020000457763672,12.03499984741211,-0.3688868766883113,,-1.0,MA_cross_Sentiment,6,737854.6111111111,Broker,6,1000.0,1000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,,DrawDown,6,0.0,0.0
7,newsF,7,2021-03-05 14:42:00,12.037199974060059,12.09000015258789,12.020000457763672,12.09000015258789,-0.3924110118288131,,-1.0,MA_cross_Sentiment,7,737854.6125,Broker,7,1000.0,1000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0
8,newsF,8,2021-03-05 14:44:00,12.089599609375,12.109999656677246,12.0600004196167,12.079999923706055,-0.4097245383115121,,-1.0,MA_cross_Sentiment,8,737854.6138888889,Broker,8,1000.0,1000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0
9,newsF,9,2021-03-05 14:46:00,12.079999923706055,12.140000343322754,12.039999961853027,12.135000228881836,-0.42082745613640815,,-1.0,MA_cross_Sentiment,9,737854.6152777778,Broker,9,1000.0,1000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0
10,newsF,10,2021-03-05 14:48:00,12.135000228881836,12.145299911499023,12.0600004196167,12.0600004196167,-0.42571976530350153,,-1.0,MA_cross_Sentiment,10,737854.6166666667,Broker,10,1000.0,1000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0
11,newsF,11,2021-03-05 14:50:00,12.050000190734863,12.100000381469727,12.050000190734863,12.100000381469727,-0.4244014658127919,,-1.0,MA_cross_Sentiment,11,737854.6180555555,Broker,11,1000.0,1000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0
12,newsF,12,2021-03-05 14:52:00,12.097800254821777,12.109999656677246,12.010000228881836,12.024999618530273,-0.41687255766427944,,-1.0,MA_cross_Sentiment,12,737854.6194444444,Broker,12,1000.0,1000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0
