===============================================================================
Id,newsRACE,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
1,newsRACE,1,2021-03-05 14:30:00,189.42999267578125,189.42999267578125,188.8300018310547,188.8300018310547,8.195917469111474e-05,,1.0,MA_cross_Sentiment,1,737854.6041666666,Broker,1,1000.0,1000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,DrawDown,1,0.0,0.0
2,newsRACE,2,2021-03-05 14:32:00,188.6999969482422,188.8000030517578,188.55499267578125,188.7100067138672,7.817190315805134e-05,,1.0,MA_cross_Sentiment,2,737854.6055555556,Broker,2,1000.0,1000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,DrawDown,2,0.0,0.0
3,newsRACE,3,2021-03-05 14:34:00,188.7100067138672,188.7100067138672,188.0679931640625,188.0679931640625,7.447197377518649e-05,,1.0,MA_cross_Sentiment,3,737854.6069444445,Broker,3,1000.0,1000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,DrawDown,3,0.0,0.0
4,newsRACE,4,2021-03-05 14:36:00,188.32000732421875,188.33999633789062,188.1300048828125,188.16000366210938,7.085938654252017e-05,,1.0,MA_cross_Sentiment,4,737854.6083333333,Broker,4,1000.0,1000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,DrawDown,4,0.0,0.0
5,newsRACE,5,2021-03-05 14:38:00,187.8800048828125,187.8800048828125,187.74000549316406,187.74000549316406,6.73341414600524e-05,,1.0,MA_cross_Sentiment,5,737854.6097222222,Broker,5,1000.0,1000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,DrawDown,5,0.0,0.0
6,newsRACE,6,2021-03-05 14:40:00,187.72000122070312,187.72000122070312,187.6300048828125,187.6300048828125,6.389623852778318e-05,,1.0,MA_cross_Sentiment,6,737854.6111111111,Broker,6,1000.0,1000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,,DrawDown,6,0.0,0.0
7,newsRACE,7,2021-03-05 14:44:00,187.83999633789062,187.97999572753906,187.83999633789062,187.97999572753906,5.728245911384039e-05,,1.0,MA_cross_Sentiment,7,737854.6138888889,Broker,7,1000.0,1000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0
8,newsRACE,8,2021-03-05 14:46:00,187.75,187.97000122070312,187.75,187.97000122070312,5.4106582632166796e-05,,1.0,MA_cross_Sentiment,8,737854.6152777778,Broker,8,1000.0,1000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0
9,newsRACE,9,2021-03-05 14:48:00,187.82000732421875,187.82000732421875,187.63999938964844,187.63999938964844,5.101804830069176e-05,,1.0,MA_cross_Sentiment,9,737854.6166666667,Broker,9,1000.0,1000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0
10,newsRACE,10,2021-03-05 14:50:00,187.33999633789062,187.64999389648438,187.33999633789062,187.60000610351562,4.801685611941526e-05,,0.9569377607596047,MA_cross_Sentiment,10,737854.6180555555,Broker,10,1000.0,1000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0
