===============================================================================
Id,twitterAMC,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,SimpleMovingAverage,len,sma,SimpleMovingAverage,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
1,twitterAMC,1,2021-03-10 14:30:00,10.880000114440918,11.4399995803833,10.850000381469727,11.40999984741211,0.08415920897637794,,0.11067559055118115,MA_cross_Sentiment,1,737859.6041666666,SimpleMovingAverage,1,,SimpleMovingAverage,1,,Broker,1,1000.0,1000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,DrawDown,1,0.0,0.0
2,twitterAMC,2,2021-03-10 14:35:00,11.430000305175781,11.430000305175781,11.15999984741211,11.3302001953125,0.11505761387283238,,0.16159710982658962,MA_cross_Sentiment,2,737859.6076388889,SimpleMovingAverage,2,,SimpleMovingAverage,2,,Broker,2,1000.0,1000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,DrawDown,2,0.0,0.0
3,twitterAMC,3,2021-03-10 14:40:00,11.34000015258789,11.979999542236328,11.311200141906738,11.795000076293945,0.06240384420408163,,0.14668653061224488,MA_cross_Sentiment,3,737859.6111111111,SimpleMovingAverage,3,,SimpleMovingAverage,3,,Broker,3,1000.0,1000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,DrawDown,3,0.0,0.0
4,twitterAMC,4,2021-03-10 14:45:00,11.795000076293945,12.359999656677246,11.789999961853027,12.22070026397705,0.06533657453164557,,0.12078936708860759,MA_cross_Sentiment,4,737859.6145833334,SimpleMovingAverage,4,,SimpleMovingAverage,4,,Broker,4,1000.0,1000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,DrawDown,4,0.0,0.0
5,twitterAMC,5,2021-03-10 14:50:00,12.221199989318848,12.470000267028809,11.770000457763672,11.795000076293945,0.06890619566563468,,0.14476687306501554,MA_cross_Sentiment,5,737859.6180555555,SimpleMovingAverage,5,,SimpleMovingAverage,5,,Broker,5,1000.0,1000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,DrawDown,5,0.0,0.0
6,twitterAMC,6,2021-03-10 14:55:00,11.795000076293945,12.09000015258789,11.660099983215332,11.851300239562988,0.11605298210023868,,0.10313245823389026,MA_cross_Sentiment,6,737859.6215277778,SimpleMovingAverage,6,,SimpleMovingAverage,6,,Broker,6,1000.0,1000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,,DrawDown,6,0.0,0.0
7,twitterAMC,7,2021-03-10 15:00:00,11.851300239562988,12.050000190734863,11.609999656677246,11.970000267028809,0.06884513766233767,,0.139435064935065,MA_cross_Sentiment,7,737859.625,SimpleMovingAverage,7,,SimpleMovingAverage,7,,Broker,7,1000.0,1000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0
8,twitterAMC,8,2021-03-10 15:05:00,11.97700023651123,12.100000381469727,11.880000114440918,12.029000282287598,0.04882826814814815,,0.13104962962962965,MA_cross_Sentiment,8,737859.6284722222,SimpleMovingAverage,8,,SimpleMovingAverage,8,,Broker,8,1000.0,1000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0
9,twitterAMC,9,2021-03-10 15:10:00,12.020099639892578,12.03909969329834,11.859999656677246,11.88700008392334,0.09801108592592593,,0.1280014814814816,MA_cross_Sentiment,9,737859.6319444445,SimpleMovingAverage,9,,SimpleMovingAverage,9,,Broker,9,1000.0,1000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0
10,twitterAMC,10,2021-03-10 15:15:00,11.890000343322754,12.010000228881836,11.880000114440918,11.987299919128418,0.07201441464174455,,0.12761433021806862,MA_cross_Sentiment,10,737859.6354166666,SimpleMovingAverage,10,,SimpleMovingAverage,10,,Broker,10,1000.0,1000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0
